Date,Close/Last,Open,High,Low,Name
2021-12-20,34932.16,35222.12,35222.12,34665.5,Dow Jones Industrial Average
2021-12-17,35365.44,35800.11,35800.11,35284.26,Dow Jones Industrial Average
2021-12-16,35897.64,36036.28,36189.83,35778.21,Dow Jones Industrial Average
2021-12-15,35927.43,35549.35,35943.84,35389.3,Dow Jones Industrial Average
2021-12-14,35544.18,35605.73,35779.47,35441.74,Dow Jones Industrial Average
2021-12-13,35650.95,35958.93,35958.93,35609.53,Dow Jones Industrial Average
2021-12-10,35970.99,35830.55,35982.69,35710.43,Dow Jones Industrial Average
2021-12-09,35754.69,35722.26,35864.24,35577.14,Dow Jones Industrial Average
2021-12-08,35754.75,35716.85,35840.52,35602.65,Dow Jones Industrial Average
2021-12-07,35719.43,35423.99,35819.47,35423.99,Dow Jones Industrial Average
2021-12-06,35227.03,34633.43,35356.75,34633.43,Dow Jones Industrial Average
2021-12-03,34580.08,34692.78,34801.31,34264.57,Dow Jones Industrial Average
2021-12-02,34639.79,34076.25,34759.65,34076.25,Dow Jones Industrial Average
2021-12-01,34022.04,34678.94,35004.64,34006.98,Dow Jones Industrial Average
2021-11-30,34483.72,35056.99,35056.99,34424.44,Dow Jones Industrial Average
2021-11-29,35135.94,35017.71,35287.91,34895.89,Dow Jones Industrial Average
2021-11-26,34899.34,35366.69,35366.69,34749.8,Dow Jones Industrial Average
2021-11-24,35804.38,35752.31,35825.47,35591.03,Dow Jones Industrial Average
2021-11-23,35813.8,35619.92,35841.52,35542.87,Dow Jones Industrial Average
2021-11-22,35619.25,35631.41,35929.66,35615.55,Dow Jones Industrial Average
2021-11-19,35601.98,35879.09,35879.09,35555.37,Dow Jones Industrial Average
2021-11-18,35870.95,35901.69,35952.63,35654.39,Dow Jones Industrial Average
2021-11-17,35931.05,36159.7,36159.7,35909.48,Dow Jones Industrial Average
2021-11-16,36142.22,36076.18,36316.61,36076.18,Dow Jones Industrial Average
2021-11-15,36087.45,36128.83,36236.07,36031.78,Dow Jones Industrial Average
2021-11-12,36100.31,35963.78,36147.63,35934.59,Dow Jones Industrial Average
2021-11-11,35921.23,36038.78,36108.17,35915.27,Dow Jones Industrial Average
2021-11-10,36079.94,36299.25,36346.61,36009.5,Dow Jones Industrial Average
2021-11-09,36319.98,36404.53,36416.98,36173.07,Dow Jones Industrial Average
2021-11-08,36432.22,36416.46,36565.73,36334.42,Dow Jones Industrial Average
2021-11-05,36327.95,36268.75,36484.75,36190.2,Dow Jones Industrial Average
2021-11-04,36124.23,36107.46,36168.03,35986.48,Dow Jones Industrial Average
2021-11-03,36157.58,36059.09,36178.51,35891.73,Dow Jones Industrial Average
2021-11-02,36052.63,35935.11,36088.81,35884.13,Dow Jones Industrial Average
2021-11-01,35913.84,35833.65,36009.74,35797.97,Dow Jones Industrial Average
2021-10-29,35819.56,35712.28,35852.53,35633.2,Dow Jones Industrial Average
2021-10-28,35730.48,35545.41,35742.25,35545.41,Dow Jones Industrial Average
2021-10-27,35490.69,35835.43,35835.43,35490.43,Dow Jones Industrial Average
2021-10-26,35756.88,35791.05,35892.92,35734.73,Dow Jones Industrial Average
2021-10-25,35741.15,35692.62,35787.04,35629.37,Dow Jones Industrial Average
2021-10-22,35677.02,35607.72,35765.02,35533.95,Dow Jones Industrial Average
2021-10-21,35603.08,35520.32,35612.36,35442.53,Dow Jones Industrial Average
