Date,Close/Last,Volume,Open,High,Low,Name
2022-03-14,106.9,18808.0,112.9,112.84,103.45,Brent Crude Oil
2022-03-11,112.67,18439.0,109.72,113.88,107.13,Brent Crude Oil
2022-03-10,109.33,30024.0,112.74,118.33,108.95,Brent Crude Oil
2022-03-09,111.14,41687.0,111.45,113.09,110.22,Brent Crude Oil
2022-03-08,127.98,36805.0,124.25,133.13,121.37,Brent Crude Oil
2022-03-07,123.21,26824.0,128.91,130.69,119.07,Brent Crude Oil
2022-03-04,118.11,34272.0,110.58,118.97,117.56,Brent Crude Oil
2022-03-03,110.46,35015.0,114.25,119.77,109.42,Brent Crude Oil
2022-03-02,112.93,56987.0,107.54,115.05,112.86,Brent Crude Oil
2022-03-01,104.97,54635.0,98.11,107.6,97.69,Brent Crude Oil
2022-02-28,100.99,348.0,104.48,104.48,99.9,Brent Crude Oil
2022-02-25,97.93,5225.0,99.65,98.76,96.0,Brent Crude Oil
2022-02-24,99.08,19553.0,97.56,104.33,97.61,Brent Crude Oil
2022-02-23,97.13,28985.0,96.63,98.7,95.8,Brent Crude Oil
2022-02-22,96.84,56706.0,96.8,97.03,96.01,Brent Crude Oil
2022-02-18,93.54,42157.0,92.98,94.15,90.26,Brent Crude Oil
2022-02-17,92.97,37258.0,92.09,94.51,91.82,Brent Crude Oil
2022-02-16,94.81,43788.0,93.59,96.07,91.14,Brent Crude Oil
2022-02-15,93.28,44266.0,95.76,96.24,92.06,Brent Crude Oil
2022-02-14,96.48,47299.0,95.31,96.53,95.55,Brent Crude Oil
2022-02-11,94.44,52473.0,91.26,95.51,94.24,Brent Crude Oil
2022-02-10,91.41,41470.0,91.72,93.09,90.9,Brent Crude Oil
2022-02-09,91.55,32141.0,91.27,92.06,90.06,Brent Crude Oil
2022-02-08,90.78,38001.0,93.01,93.01,89.93,Brent Crude Oil
2022-02-07,92.69,35627.0,92.73,93.99,92.15,Brent Crude Oil
2022-02-04,93.27,31707.0,91.04,93.7,90.89,Brent Crude Oil
2022-02-03,91.11,32203.0,89.06,91.29,88.01,Brent Crude Oil
2022-02-02,89.47,37431.0,89.29,90.51,88.28,Brent Crude Oil
2022-02-01,89.16,32211.0,89.38,89.96,87.72,Brent Crude Oil
